Hancock_Kitchen_Inside_raw_pu_l1.hdr 0.9448 35.0644 36.1312 7.6193
Hancock_Kitchen_Inside_raw_pq_l1.hdr 0.9553 36.2480 37.5191 7.8974
Hancock_Kitchen_Inside_raw_linear_pq.hdr 0.9524 36.0821 37.5097 7.8391
Hancock_Kitchen_Inside_raw_linear_pu.hdr 0.9372 34.1624 35.2941 7.3678
Hancock_Kitchen_Inside_raw_linear_smape.hdr 0.9486 35.5708 36.8441 7.7144
Hancock_Kitchen_Inside_raw_linear_mu.hdr 0.9529 36.0145 37.5390 7.8780

Lab_Booth_raw_mu_l1.hdr 0.9066 26.8099 31.6598 6.7994
Lab_Booth_raw_pu21_l1.hdr 0.8940 25.7901 31.1227 6.5662
Lab_Booth_raw_naive.hdr 0.7958 19.4653 20.2354 4.7831
Lab_Booth_raw_linear_l1.hdr 0.8549 18.6333 28.7020 6.3647
Lab_Booth_raw_pu_l1.hdr 0.9033 26.6323 31.8856 6.7628
Lab_Booth_raw_pq_l1.hdr 0.9143 27.0733 32.9977 6.9451
Lab_Booth_raw_linear_pq.hdr 0.9055 12.5999 32.5699 6.7871
Lab_Booth_raw_linear_pu.hdr 0.8805 15.4929 30.9900 6.5095
Lab_Booth_raw_linear_smape.hdr 0.9080 26.4297 32.6686 6.8568
Lab_Booth_raw_linear_mu.hdr 0.9122 26.4821 32.8689 7.0519

Lab_Typwriter_raw_mu_l1.hdr 0.9255 33.7161 36.3356 7.4556
Lab_Typwriter_raw_pu21_l1.hdr 0.9135 32.5962 35.0671 7.1789
Lab_Typwriter_raw_naive.hdr 0.8559 25.6291 26.1358 5.5900
Lab_Typwriter_raw_linear_l1.hdr 0.8831 30.2106 32.5408 6.8895
Lab_Typwriter_raw_pu_l1.hdr 0.9204 33.2899 35.8313 7.3597
Lab_Typwriter_raw_pq_l1.hdr 0.9295 33.9532 36.6511 7.6253
Lab_Typwriter_raw_linear_pq.hdr 0.9276 33.7131 36.6467 7.5947
Lab_Typwriter_raw_linear_pu.hdr 0.9128 32.6456 35.1387 7.1786
Lab_Typwriter_raw_linear_smape.hdr 0.9241 33.3834 36.2635 7.4784
Lab_Typwriter_raw_linear_mu.hdr 0.9290 33.7114 36.7870 7.6416

Lab_Window_raw_mu_l1.hdr 0.9334 26.6751 32.6372 7.5799
Lab_Window_raw_pu21_l1.hdr 0.9194 25.7739 31.2398 7.2860
Lab_Window_raw_naive.hdr 0.8416 21.5481 23.5898 5.4618
Lab_Window_raw_linear_l1.hdr 0.8834 19.5575 29.3214 6.7877
Lab_Window_raw_pu_l1.hdr 0.9266 27.3732 32.2129 7.4590
Lab_Window_raw_pq_l1.hdr 0.9359 27.2183 32.9981 7.6564
Lab_Window_raw_linear_pq.hdr 0.9306 15.0874 28.2048 7.1402
Lab_Window_raw_linear_pu.hdr 0.9095 15.1637 27.6071 6.9635
Lab_Window_raw_linear_smape.hdr 0.9276 24.5588 33.0272 7.6265
Lab_Window_raw_linear_mu.hdr 0.9318 23.8357 33.4972 7.6830

Las_Vegas_Store_raw_mu_l1.hdr 0.8599 26.4632 31.4187 6.9655
Las_Vegas_Store_raw_pu21_l1.hdr 0.8410 25.4881 30.2881 6.6579
Las_Vegas_Store_raw_naive.hdr 0.7147 19.5644 20.5920 4.4700
Las_Vegas_Store_raw_linear_l1.hdr 0.8168 21.8702 28.4095 6.4237
Las_Vegas_Store_raw_pu_l1.hdr 0.8519 26.2922 30.8897 6.8360
Las_Vegas_Store_raw_pq_l1.hdr 0.8682 26.6819 32.0642 7.1625
Las_Vegas_Store_raw_linear_pq.hdr 0.8627 22.6424 31.2373 7.0091
Las_Vegas_Store_raw_linear_pu.hdr 0.8386 22.8893 29.8677 6.5860
Las_Vegas_Store_raw_linear_smape.hdr 0.8576 24.8841 31.7969 6.9474
Las_Vegas_Store_raw_linear_mu.hdr 0.8641 25.1915 32.1876 7.1025

McKee's_Pub_raw_mu_l1.hdr 0.9267 32.8964 34.5068 7.1774
McKee's_Pub_raw_pu21_l1.hdr 0.9124 31.8656 33.6498 6.8812
McKee's_Pub_raw_naive.hdr 0.8098 23.2587 23.7010 4.7815
McKee's_Pub_raw_linear_l1.hdr 0.8948 29.9108 32.5238 6.5569
McKee's_Pub_raw_pu_l1.hdr 0.9219 32.6324 34.2951 7.1170
McKee's_Pub_raw_pq_l1.hdr 0.9309 33.2321 35.1444 7.3046
McKee's_Pub_raw_linear_pq.hdr 0.9297 31.8172 35.1383 7.3019
McKee's_Pub_raw_linear_pu.hdr 0.9103 31.1995 33.6038 6.8249
McKee's_Pub_raw_linear_smape.hdr 0.9255 32.3904 34.7915 7.1839
McKee's_Pub_raw_linear_mu.hdr 0.9319 32.7244 35.1944 7.3914

Old_Faithful_Inn_raw_mu_l1.hdr 0.9318 32.4160 33.3094 7.4744
Old_Faithful_Inn_raw_pu21_l1.hdr 0.9140 31.0490 31.8173 7.1496
Old_Faithful_Inn_raw_naive.hdr 0.8195 22.3218 22.5410 5.1849
Old_Faithful_Inn_raw_linear_l1.hdr 0.8897 29.4591 30.6790 6.6677
Old_Faithful_Inn_raw_pu_l1.hdr 0.9246 31.8622 32.7188 7.3757
Old_Faithful_Inn_raw_pq_l1.hdr 0.9360 32.7986 33.7944 7.5982
Old_Faithful_Inn_raw_linear_pq.hdr 0.9298 32.4378 33.7153 7.4792
Old_Faithful_Inn_raw_linear_pu.hdr 0.9081 31.0032 31.9264 6.9999
Old_Faithful_Inn_raw_linear_smape.hdr 0.9262 32.2987 33.2789 7.3831
Old_Faithful_Inn_raw_linear_mu.hdr 0.9311 32.6106 33.8618 7.5310

RIT_Tiger_raw_mu_l1.hdr 0.9165 33.7582 34.9256 6.7139
RIT_Tiger_raw_pu21_l1.hdr 0.9032 32.2905 34.2596 6.4811
RIT_Tiger_raw_naive.hdr 0.8116 23.8650 24.1405 4.6867
RIT_Tiger_raw_linear_l1.hdr 0.8943 32.0570 33.6342 6.3268
RIT_Tiger_raw_pu_l1.hdr 0.9128 33.6037 34.8844 6.6718
RIT_Tiger_raw_pq_l1.hdr 0.9229 34.3717 35.8642 6.8759
RIT_Tiger_raw_linear_pq.hdr 0.9229 34.3872 35.9426 6.9169
RIT_Tiger_raw_linear_pu.hdr 0.9028 32.9600 34.3141 6.4574
RIT_Tiger_raw_linear_smape.hdr 0.9181 34.1403 35.5660 6.7816
RIT_Tiger_raw_linear_mu.hdr 0.9276 34.5920 36.3034 7.0303

Route_66_Museum_raw_mu_l1.hdr 0.9484 32.5261 34.6746 7.4177
Route_66_Museum_raw_pu21_l1.hdr 0.9354 31.6384 33.9423 7.0973
Route_66_Museum_raw_naive.hdr 0.8628 23.9706 24.6763 5.3480
Route_66_Museum_raw_linear_l1.hdr 0.9330 30.4405 33.6215 7.1119
Route_66_Museum_raw_pu_l1.hdr 0.9435 32.2855 34.6914 7.3333
Route_66_Museum_raw_pq_l1.hdr 0.9519 32.9869 35.8331 7.5317
Route_66_Museum_raw_linear_pq.hdr 0.9517 30.9606 36.1988 7.5857
Route_66_Museum_raw_linear_pu.hdr 0.9371 30.2505 34.2720 7.1521
Route_66_Museum_raw_linear_smape.hdr 0.9478 32.7499 35.6237 7.4481
Route_66_Museum_raw_linear_mu.hdr 0.9543 33.1967 36.4856 7.7102

The_Grotto_raw_mu_l1.hdr 0.8191 27.8106 30.4265 6.2042
The_Grotto_raw_pu21_l1.hdr 0.7938 27.1532 29.7992 5.9618
The_Grotto_raw_naive.hdr 0.6332 22.2085 23.6060 3.9165
The_Grotto_raw_linear_l1.hdr 0.7890 26.8570 29.6917 5.9271
The_Grotto_raw_pu_l1.hdr 0.8115 27.6172 30.2640 6.1518
The_Grotto_raw_pq_l1.hdr 0.8306 28.0410 30.8516 6.3568
