EDSR
t statistic: -2.7234627089745396
p value: 0.009370920415052452
Ben\&Jerry\'s_aug_4_raw_linear_l1.hdr 24.8377 26.2005 5.3016
Ben\&Jerry\'s_aug_4_raw_pq_l1.hdr 43.1692 43.5513 8.6425
Ben\&Jerry\'s_aug_4_raw_pu_l1.hdr 42.5964 43.1712 8.5845


Ben\&Jerry\'s_aug_5_raw_naive.hdr 45.1960 45.1362 8.6378
Ben\&Jerry\'s_aug_5_raw_linear_l1.hdr 21.9791 22.4473 5.3189
Ben\&Jerry\'s_aug_5_raw_pq_l1.hdr 46.3744 46.4213 8.8872
Ben\&Jerry\'s_aug_5_raw_pu_l1.hdr 45.7716 45.9971 8.8332


Blooming_Gorse_1_raw_naive.hdr 37.2652 60.2108 9.7385
Blooming_Gorse_1_raw_linear_l1.hdr 36.6029 58.6471 9.7136
Blooming_Gorse_1_raw_pq_l1.hdr 37.8190 60.7643 9.7692
Blooming_Gorse_1_raw_pu_l1.hdr 37.7485 60.6939 9.7693


Blooming_Gorse_1_aug_1_raw_naive.hdr 36.7806 59.7152 9.7238
Blooming_Gorse_1_aug_1_raw_linear_l1.hdr 36.0669 58.1836 9.6922
Blooming_Gorse_1_aug_1_raw_pq_l1.hdr 37.4114 60.3457 9.7603
Blooming_Gorse_1_aug_1_raw_pu_l1.hdr 37.2626 60.1968 9.7578


Blooming_Gorse_1_aug_2_raw_naive.hdr 37.2486 57.5113 9.6212
Blooming_Gorse_1_aug_2_raw_linear_l1.hdr 34.4818 50.1730 9.0642
Blooming_Gorse_1_aug_2_raw_pq_l1.hdr 37.8747 58.8430 9.7009
Blooming_Gorse_1_aug_2_raw_pu_l1.hdr 37.5233 58.4287 9.6863


Blooming_Gorse_1_aug_3_raw_naive.hdr 37.5227 56.2375 9.5505
Blooming_Gorse_1_aug_3_raw_linear_l1.hdr 34.0227 47.7306 8.8393
Blooming_Gorse_1_aug_3_raw_pq_l1.hdr 38.1376 57.8962 9.6550
Blooming_Gorse_1_aug_3_raw_pu_l1.hdr 37.7291 57.4309 9.6383


Blooming_Gorse_1_aug_4_raw_naive.hdr 38.4113 50.0615 9.1798
Blooming_Gorse_1_aug_4_raw_linear_l1.hdr 30.8121 38.6109 7.7051
Blooming_Gorse_1_aug_4_raw_pq_l1.hdr 38.9625 52.3852 9.3864
Blooming_Gorse_1_aug_4_raw_pu_l1.hdr 37.9440 51.8353 9.3628


Blooming_Gorse_1_aug_5_raw_naive.hdr 39.9550 45.6994 8.7953
Blooming_Gorse_1_aug_5_raw_linear_l1.hdr 27.7102 32.7345 6.5851
Blooming_Gorse_1_aug_5_raw_pq_l1.hdr 40.7199 47.8973 9.0848
Blooming_Gorse_1_aug_5_raw_pu_l1.hdr 38.5695 47.4240 9.0539


Cades_Cove_raw_naive.hdr 45.1487 68.0638 9.8731
Cades_Cove_raw_linear_l1.hdr 44.9110 67.0358 9.8607
Cades_Cove_raw_pq_l1.hdr 45.3175 68.2393 9.8873
Cades_Cove_raw_pu_l1.hdr 45.3128 68.2345 9.8873


Cades_Cove_aug_1_raw_naive.hdr 44.3106 66.1346 9.8150
Cades_Cove_aug_1_raw_linear_l1.hdr 43.8720 63.4476 9.6839
Cades_Cove_aug_1_raw_pq_l1.hdr 44.5536 66.8966 9.8653
Cades_Cove_aug_1_raw_pu_l1.hdr 44.5124 66.8395 9.8654


Cades_Cove_aug_2_raw_naive.hdr 41.7271 52.4987 9.3077
Cades_Cove_aug_2_raw_linear_l1.hdr 35.7512 40.0002 7.9166
Cades_Cove_aug_2_raw_pq_l1.hdr 42.4167 54.8562 9.4784
Cades_Cove_aug_2_raw_pu_l1.hdr 42.2555 54.4011 9.4545


Cades_Cove_aug_3_raw_naive.hdr 41.1735 51.3098 9.2408
Cades_Cove_aug_3_raw_linear_l1.hdr 34.2680 38.0521 7.6637
Cades_Cove_aug_3_raw_pq_l1.hdr 41.8915 53.4125 9.4101
Cades_Cove_aug_3_raw_pu_l1.hdr 41.7022 52.9820 9.3847


Cades_Cove_aug_4_raw_naive.hdr 39.6754 47.3696 8.9106
Cades_Cove_aug_4_raw_linear_l1.hdr 28.6433 31.4723 6.6774
Cades_Cove_aug_4_raw_pq_l1.hdr 40.2992 48.9301 9.1135
Cades_Cove_aug_4_raw_pu_l1.hdr 39.9814 48.5924 9.0840


Cades_Cove_aug_5_raw_naive.hdr 41.2265 44.4573 8.5566
Cades_Cove_aug_5_raw_linear_l1.hdr 24.9001 27.3643 6.0411
Cades_Cove_aug_5_raw_pq_l1.hdr 41.8698 45.5973 8.7778
Cades_Cove_aug_5_raw_pu_l1.hdr 41.3405 45.3111 8.7432


El_Capitan_raw_naive.hdr 63.4090 86.2484 9.9870
El_Capitan_raw_linear_l1.hdr 60.6837 71.7078 9.8907
El_Capitan_raw_pq_l1.hdr 63.4090 86.2484 9.9870
El_Capitan_raw_pu_l1.hdr 63.4090 86.2484 9.9870


El_Capitan_aug_1_raw_naive.hdr 60.2528 82.8905 9.9799
El_Capitan_aug_1_raw_linear_l1.hdr 58.4367 70.3558 9.8750
