Lab_Window_raw_pu_l1.hdr 42.9086 48.9800 8.9575

Las_Vegas_Store_raw_linear_smape.hdr 39.3983 43.2513 8.4654
Las_Vegas_Store_raw_linear_mu.hdr 39.2230 42.8936 8.4142
Las_Vegas_Store_raw_linear_pu.hdr 17.5588 17.5821 8.1390
Las_Vegas_Store_raw_linear_pq.hdr 39.2837 43.1732 8.4241
Las_Vegas_Store_raw_linear_l1.hdr 37.5182 41.2979 8.1551
Las_Vegas_Store_raw_pq_l1.hdr 40.1916 43.7076 8.6604
Las_Vegas_Store_raw_pu_l1.hdr 39.9716 43.4397 8.4648

McKee\'s_Pub_raw_linear_smape.hdr 50.1079 53.4091 9.2525
McKee\'s_Pub_raw_linear_mu.hdr 49.2194 52.0547 9.1860
McKee\'s_Pub_raw_linear_pu.hdr 17.1474 17.1398 8.3547
McKee\'s_Pub_raw_linear_pq.hdr 49.7773 53.6074 9.2655
McKee\'s_Pub_raw_linear_l1.hdr 46.1252 49.9379 8.9818
McKee\'s_Pub_raw_pq_l1.hdr 50.2362 53.6152 9.2646
McKee\'s_Pub_raw_pu_l1.hdr 50.1323 53.4713 9.2505

Old_Faithful_Inn_raw_linear_smape.hdr 48.6901 50.5510 9.0487
Old_Faithful_Inn_raw_linear_mu.hdr 47.8093 49.7774 8.9781
Old_Faithful_Inn_raw_linear_pu.hdr 17.4626 17.4142 7.2024
Old_Faithful_Inn_raw_linear_pq.hdr 48.5918 50.6986 9.0720
Old_Faithful_Inn_raw_linear_l1.hdr 41.6028 45.0099 8.3422
Old_Faithful_Inn_raw_pq_l1.hdr 50.3062 52.1669 9.2216
Old_Faithful_Inn_raw_pu_l1.hdr 48.8575 50.6708 9.0616

RIT_Tiger_raw_linear_smape.hdr 61.8311 83.9606 9.9597
RIT_Tiger_raw_linear_mu.hdr 61.8456 83.6807 9.9553
RIT_Tiger_raw_linear_pu.hdr 17.1000 17.0998 9.9444
RIT_Tiger_raw_linear_pq.hdr 61.2248 83.3716 9.9606
RIT_Tiger_raw_linear_l1.hdr 59.3977 75.0587 9.8262
RIT_Tiger_raw_pq_l1.hdr 61.1561 83.3461 9.9506
RIT_Tiger_raw_pu_l1.hdr 61.7352 83.8170 9.9589

Route_66_Museum_raw_linear_smape.hdr 50.9169 63.0218 9.6669
Route_66_Museum_raw_linear_mu.hdr 51.1123 60.7802 9.6028
Route_66_Museum_raw_linear_pu.hdr 17.1064 17.1040 9.2523
Route_66_Museum_raw_linear_pq.hdr 49.8603 62.5493 9.6528
Route_66_Museum_raw_linear_l1.hdr 48.6841 55.8133 9.4234
Route_66_Museum_raw_pq_l1.hdr 51.2852 62.6560 9.6408
Route_66_Museum_raw_pu_l1.hdr 51.3474 62.3530 9.6333

The_Grotto_raw_linear_smape.hdr 56.3969 79.0666 9.9648
